2026-02-13 12:18:51 | INFO     | netscope.core.executor:run_command:75 | Command completed: traceroute -n -m 15 8.8.8.8 (return code: 0, duration: 15.67s)
2026-02-13 12:18:51 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: hop_count=7
2026-02-13 12:18:51 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: destination_reached=True
2026-02-13 12:18:51 | INFO     | netscope.core.executor:run_command:54 | Executing command: dig +short 8.8.8.8
2026-02-13 12:18:51 | INFO     | netscope.core.executor:run_command:75 | Command completed: dig +short 8.8.8.8 (return code: 0, duration: 0.11s)
2026-02-13 12:18:51 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: ip_count=0
2026-02-13 12:39:43 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 12:39:43 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 12:40:44 | INFO     | netscope.cli.main:_run_interactive:171 | Created test run directory: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_124044_traceroute_test
2026-02-13 12:40:44 | DEBUG    | netscope.storage.csv_handler:_create_csv:43 | Created CSV file: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_124044_traceroute_test/results.csv
2026-02-13 12:40:44 | INFO     | netscope.core.executor:run_command:54 | Executing command: traceroute -n -m 15 google.com
2026-02-13 12:40:59 | INFO     | netscope.core.executor:run_command:75 | Command completed: traceroute -n -m 15 google.com (return code: 0, duration: 15.57s)
2026-02-13 12:40:59 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: hop_count=8
2026-02-13 12:40:59 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: destination_reached=True
2026-02-13 12:41:48 | INFO     | netscope.cli.main:_run_interactive:355 | NetScope exited normally
2026-02-13 14:01:01 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 14:01:01 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 14:01:27 | INFO     | netscope.cli.main:_run_interactive:171 | Created test run directory: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_140127_arp_scan
2026-02-13 14:01:27 | DEBUG    | netscope.storage.csv_handler:_create_csv:43 | Created CSV file: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_140127_arp_scan/results.csv
2026-02-13 14:01:27 | INFO     | netscope.core.executor:run_command:54 | Executing command: arp -a
2026-02-13 14:01:34 | INFO     | netscope.core.executor:run_command:75 | Command completed: arp -a (return code: 0, duration: 7.32s)
2026-02-13 14:01:34 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: device_info=D4:13:F8:1B:5F:C0
2026-02-13 14:01:34 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: device_info=86:44:F0:14:14:9E
2026-02-13 14:01:34 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: device_info=38:F9:D3:66:EE:76
2026-02-13 14:01:34 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: device_info=3A:67:CC:58:55:40
2026-02-13 14:01:34 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: device_info=FF:FF:FF:FF:FF:FF
2026-02-13 14:11:46 | INFO     | netscope.cli.main:_run_interactive:355 | NetScope exited normally
2026-02-13 14:13:03 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 14:13:03 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 14:14:17 | INFO     | netscope.cli.main:_run_interactive:148 | NetScope exited normally
2026-02-13 14:15:32 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
2026-02-13 14:15:32 | DEBUG    | netscope.storage.logger:setup_logging:53 | Log files: /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope.log, /Users/HP/Documents/zubabroadband/netdiag-cli/output/netscope_errors.log
2026-02-13 14:15:51 | INFO     | netscope.cli.main:_run_interactive:195 | Created test run directory: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_141551_traceroute_test
2026-02-13 14:15:51 | DEBUG    | netscope.storage.csv_handler:_create_csv:43 | Created CSV file: /Users/HP/Documents/zubabroadband/netdiag-cli/output/2026-02-13_141551_traceroute_test/results.csv
2026-02-13 14:15:51 | INFO     | netscope.core.executor:run_command:54 | Executing command: traceroute -n -m 15 8.8.8.8
2026-02-13 14:16:06 | INFO     | netscope.core.executor:run_command:75 | Command completed: traceroute -n -m 15 8.8.8.8 (return code: 0, duration: 15.82s)
2026-02-13 14:16:06 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: hop_count=7
2026-02-13 14:16:06 | DEBUG    | netscope.storage.csv_handler:write_result:81 | Wrote result to CSV: destination_reached=True
2026-02-13 14:16:24 | INFO     | netscope.cli.main:_run_interactive:377 | NetScope exited normally
2026-02-13 15:11:22 | INFO     | netscope.storage.logger:setup_logging:52 | Logging initialized
